Airtable Table,Airtable Field,Airtable Field Type,Live Options,Static Form Field Name,OAS Injected?,New-Base Writer Mapped?,Legacy Writer Mapped?,Child Table / JSON Payload?,Source File(s),Needed For OAS?,Needed For Operator Explorer?,Needed For Operator Strategy?,Coverage Status,Risk Level,Recommended Action
Operator Setup - Commercial Fit & Terms,ov_cluster_interaction,multilineText,,ov_cluster_interaction,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,No,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Commercial Fit & Terms,ov_cluster_deliverables,multilineText,,ov_cluster_deliverables,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,No,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Commercial Fit & Terms,ownerEngagementNarrative,multilineText,,ownerEngagementNarrative,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,No,No,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Commercial Fit & Terms,portfolioMetricsAsOf,singleLineText,,portfolioMetricsAsOf,No,No,Yes,No,operator-alignment-5b-schema-backup-2026-05-25.json; third-party-operator-airtable-fields-used.js; operator-setup-write-plan.js; he-cala-form-inventory.json,No,No,No,Legacy Only,Medium,Extend new-base build sheet + writer (Phase B)
Operator Setup - Commercial Fit & Terms,portfolioValue,singleLineText,,portfolioValue,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,annualRevenueManaged,singleLineText,,annualRevenueManaged,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,avgContractTerm,singleSelect,,avgContractTerm,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,feeStructure,singleSelect,,feeStructure,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,reportingFrequency,singleSelect,,reportingFrequency,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,reportTypes,multipleSelects,,reportTypes,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,budgetProcess,singleSelect,,budgetProcess,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,capexPlanning,singleSelect,,capexPlanning,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,capexTolerance,singleSelect,,capexTolerance,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,performanceReviews,singleSelect,,performanceReviews,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,communicationStyle,singleSelect,,communicationStyle,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,ownerInvolvement,singleSelect,,ownerInvolvement,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,operatingCollaborationMode,singleSelect,,operatingCollaborationMode,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,ownerResponseTime,singleSelect,,ownerResponseTime,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,decisionMaking,multilineText,,decisionMaking,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,disputeResolution,multilineText,,disputeResolution,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,concernResolutionTime,singleSelect,,concernResolutionTime,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,ownerAdvisoryBoard,singleSelect,,ownerAdvisoryBoard,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,ownerEducation,singleSelect,,ownerEducation,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,industryRecognition,multilineText,,industryRecognition,No,No,Yes,No,operator-alignment-5b-schema-backup-2026-05-25.json; third-party-operator-airtable-fields-used.js; operator-setup-write-plan.js; he-cala-form-inventory.json,No,No,No,Legacy Only,Medium,Extend new-base build sheet + writer (Phase B)
Operator Setup - Commercial Fit & Terms,lenderReferences,singleSelect,,lenderReferences,No,No,Yes,No,operator-alignment-5b-schema-backup-2026-05-25.json; third-party-operator-airtable-fields-used.js; operator-setup-write-plan.js; he-cala-form-inventory.json,No,No,No,Legacy Only,Medium,Extend new-base build sheet + writer (Phase B)
Operator Setup - Commercial Fit & Terms,majorLenders,multilineText,,majorLenders,No,No,Yes,No,operator-alignment-5b-schema-backup-2026-05-25.json; third-party-operator-airtable-fields-used.js; operator-setup-write-plan.js; he-cala-form-inventory.json,No,No,No,Legacy Only,Medium,Extend new-base build sheet + writer (Phase B)
Operator Setup - Commercial Fit & Terms,specializations,multilineText,,specializations,No,No,Yes,No,operator-alignment-5b-schema-backup-2026-05-25.json; third-party-operator-airtable-fields-used.js; operator-setup-write-plan.js; he-cala-form-inventory.json,No,No,No,Legacy Only,Medium,Extend new-base build sheet + writer (Phase B)
Operator Setup - Commercial Fit & Terms,ownerPortalFeatures,multilineText,,ownerPortalFeatures,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,additionalNotes,multilineText,,additionalNotes,No,No,Yes,No,operator-alignment-5b-schema-backup-2026-05-25.json; third-party-operator-airtable-fields-used.js; operator-setup-write-plan.js; he-cala-form-inventory.json,No,No,No,Legacy Only,Medium,Extend new-base build sheet + writer (Phase B)
Operator Setup - Commercial Fit & Terms,bf_operating_situations,multilineText,,bf_operating_situations,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Commercial Fit & Terms,bf_not_ideal_for,multilineText,,bf_not_ideal_for,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Commercial Fit & Terms,bf_selected_asset_types,multipleSelects,Low-Rise | Mid-Rise | Mixed-Use | Podium / Tower | Historic / Renovated | Resort-Style Compound,bf_selected_asset_types,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Commercial Fit & Terms,bf_q_assets,singleLineText,,bf_q_assets,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,No,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Commercial Fit & Terms,bf_selected_situation_types,multipleSelects,Land Under Control Only | Entitlements in Process | Fully Entitled | Under Construction | Stabilized Operating Asset,bf_selected_situation_types,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Commercial Fit & Terms,bf_q_situations,singleLineText,,bf_q_situations,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,No,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Commercial Fit & Terms,bf_selected_deal_structures,multipleSelects,Third-Party Management (Franchised Brand) | Third-Party Management (Independent / Soft Brand) | Hybrid / Operating Lease Structure | Joint Venture / Equity,bf_selected_deal_structures,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Commercial Fit & Terms,bf_q_deals,singleLineText,,bf_q_deals,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,No,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Commercial Fit & Terms,bf_signal_dealsize,singleSelect,Not Measured / N/A | Single asset / small cluster | Mid portfolio (~100–500 keys) | Large portfolio (500+ keys) | Multi-region / institutional,bf_signal_dealsize,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,No,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Commercial Fit & Terms,bf_signal_transition,singleSelect,High | Strong | Very Strong | Moderate-High | Medium | Low | Emerging,bf_signal_transition,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,No,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Commercial Fit & Terms,bf_signal_governance,singleLineText,,bf_signal_governance,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,No,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Commercial Fit & Terms,bf_signal_capital,singleLineText,,bf_signal_capital,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,Yes,No,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Commercial Fit & Terms,idealProjectTypes,multipleSelects,,idealProjectTypes,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,idealBuildingTypes,multipleSelects,,idealBuildingTypes,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,idealAgreementTypes,multipleSelects,,idealAgreementTypes,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,projectStage,multipleSelects,,projectStage,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,preferredOwnerType,singleSelect,,preferredOwnerType,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,coBrandingAllowed,singleSelect,,coBrandingAllowed,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,brandedResidencesAllowed,singleSelect,,brandedResidencesAllowed,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,mixedUseAllowed,singleSelect,,mixedUseAllowed,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,priorityMarkets,multipleSelects,,priorityMarkets,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,marketsToAvoid,multipleSelects,,marketsToAvoid,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,priorityMarketsOther,singleLineText,,priorityMarketsOther,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,marketsToAvoidOther,singleLineText,,marketsToAvoidOther,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,marketExpansionComfort,singleSelect,,marketExpansionComfort,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,dateFlexibility,singleSelect,,dateFlexibility,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,brandStatus,multipleSelects,,brandStatus,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,pipRepositioningDetails,multilineText,,pipRepositioningDetails,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,ownerHotelExperience,multipleSelects,,ownerHotelExperience,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,ownerInvolvementLevel,multipleSelects,,ownerInvolvementLevel,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,ownerNonNegotiableTypes,multipleSelects,,ownerNonNegotiableTypes,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,ownerNonNegotiableOther,singleLineText,,ownerNonNegotiableOther,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,No,No,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Commercial Fit & Terms,ownerNonNegotiables,multilineText,,ownerNonNegotiables,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,feeExpectationVsMarket,multipleSelects,,feeExpectationVsMarket,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,capexSupport,multilineText,,capexSupport,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,exitHorizon,multipleSelects,,exitHorizon,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,knownRedFlags,multilineText,,knownRedFlags,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,esgExpectations,multilineText,,esgExpectations,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,idealProjectsAdditionalNotes,multilineText,,idealProjectsAdditionalNotes,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,minInitialTermQty,singleLineText,,minInitialTermQty,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,minInitialTermLength,singleLineText,,minInitialTermLength,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,minInitialTermDuration,singleSelect,,minInitialTermDuration,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,renewalOptionQty,singleLineText,,renewalOptionQty,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,renewalOptionLength,singleLineText,,renewalOptionLength,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,renewalOptionDuration,singleSelect,,renewalOptionDuration,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,renewalNoticeQty,singleLineText,,renewalNoticeQty,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,renewalNoticeDuration,singleSelect,,renewalNoticeDuration,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,renewalStructure,singleSelect,,renewalStructure,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,renewalNoticeResponsibility,singleSelect,,renewalNoticeResponsibility,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,renewalConditions,multilineText,,renewalConditions,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,performanceTestRequirement,singleSelect,,performanceTestRequirement,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,performanceMetricsUsed,multipleSelects,,performanceMetricsUsed,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,performanceMetricsOther,singleLineText,,performanceMetricsOther,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,No,No,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Commercial Fit & Terms,curePeriodQty,singleLineText,,curePeriodQty,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,curePeriodDuration,singleSelect,,curePeriodDuration,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,qaComplianceRequirement,singleSelect,,qaComplianceRequirement,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,pipAtRenewal,singleSelect,,pipAtRenewal,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,pipForConversions,singleSelect,,pipForConversions,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,mgmtFeeBasis,singleSelect,,mgmtFeeBasis,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,mgmtFeeNotes,singleLineText,,mgmtFeeNotes,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,incentiveFeeBasis,singleSelect,,incentiveFeeBasis,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,incentiveFeeNotes,singleLineText,,incentiveFeeNotes,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,incentiveExcessBasis,singleSelect,,incentiveExcessBasis,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,incentiveExcessNotes,singleLineText,,incentiveExcessNotes,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,baseFeeEscalation,singleSelect,,baseFeeEscalation,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,baseFeeEscalationHow,singleLineText,,baseFeeEscalationHow,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,feeMinimumFloor,singleSelect,,feeMinimumFloor,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Commercial Fit & Terms,feeMinimumFloorBasis,singleSelect,,feeMinimumFloorBasis,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
